tconst	averageRating	numVotes
tt8100840	7.9	50
tt5817772	8.8	7
tt8100854	7.8	10
tt7927944	9.4	5
tt6372026	8.4	479
tt10852994	2.6	7
tt6386670	6.1	12
tt8364508	6.5	15
tt5803150	4.4	19
tt6386678	6.1	8
tt7927932	7.9	2109
tt7927934	6.8	7
tt7927936	8.9	28501
tt11528728	7.5	107
tt6386640	8.8	1406
tt6386638	8.5	1209
tt3480428	9.1	11
tt13901986	6.8	50
tt13048984	8.9	7
tt4866986	4.8	211
tt6386624	7.8	1237
tt7927902	5.0	6
tt13034338	9.3	460
tt9158092	7.4	24
tt6386634	7.6	1106
tt6386628	7.5	1245
tt4288182	8.6	66208
tt5949248	5.2	23
tt7626396	6.7	151
tt5528544	6.7	12
tt5949226	7.8	322
tt9090858	7.0	7
tt5949218	8.4	16
tt7205672	6.4	7
tt7690902	8.0	99
tt16227118	8.6	245
tt11935566	7.8	636
tt8232634	7.1	8
tt8232658	8.0	10
tt13469624	9.2	21
tt8232648	7.5	127
tt7626364	7.0	59
tt8232650	8.5	6
tt15315922	8.1	22
tt12083150	7.0	14
tt15144104	9.0	6
tt13469660	8.5	8
tt9447774	6.1	107
tt15315902	8.3	28
tt4142090	6.9	183
tt4142094	7.3	82
tt6543990	6.6	18
tt5239052	8.2	32
tt5239048	7.8	36
tt9026262	5.8	116
tt12240332	7.5	15
tt4720596	4.7	3504
tt7626328	6.1	18
tt5239042	8.8	64
tt5239044	7.8	39
tt11803848	7.0	18
tt5239038	8.4	35
tt8075470	8.5	15
tt6097006	7.1	12
tt6254874	6.3	237
tt8075462	7.0	55
tt11646456	6.1	60
tt12083182	7.3	13
tt12083184	7.1	14
tt5239020	7.9	1593
tt13323500	7.9	31
tt14959110	3.6	6
tt10970184	6.1	7
tt6254864	5.9	32
tt8075454	6.7	113
tt12083174	8.4	44
tt12083178	7.6	16
tt10984792	8.3	7
tt5239008	8.6	322
tt10970174	6.4	7
tt5171644	7.8	748
tt5949258	8.2	17
tt8364446	4.3	40
tt5803094	7.7	667
tt4998692	8.8	10
tt6254944	8.0	6
tt13034494	7.6	5
tt6675556	6.7	252
tt13758684	6.6	102
tt10274466	1.8	40
tt9301302	8.2	84
tt11107872	6.1	42
tt10274472	4.6	7
tt10274478	7.9	59
tt5171828	4.0	89
tt14891922	6.7	106
tt8364418	7.1	2402
tt10563420	5.6	1801
tt10970212	6.3	6
tt11803676	6.4	14
tt11646510	7.3	111
tt8100956	8.8	8833
tt13323492	7.5	38
tt7337238	8.8	5
tt9315990	6.8	542
tt11935522	7.8	9
tt7690774	5.8	139
tt7337222	9.0	5
tt7913416	8.0	6
tt10431584	7.7	19
tt11778338	4.6	8
tt10431576	7.4	20
tt10431578	7.6	19
tt5817660	5.2	44
tt11935556	6.3	17
tt7690760	9.0	8
tt13323498	7.7	32
tt8100946	8.5	10064
tt5803030	5.9	8
tt10142606	8.6	13
tt10431566	5.2	127
